man	mężczyzna
mężczyzna	man
woman	kobieta
kobieta	woman
apple	jabłko
jabłko	apple
girl	dziewczynka
dziewczynka	girl
boy	chłopiec
chłopiec	boy
milk	mleko
mleko	milk
bread	chleb
chleb	bread
water	woda
woda	water
child	dziecko
dziecko	child
cookie	ciasteczko
ciasteczko	cookie
reverence, honor/honour	cześć
cześć	reverence, honor/honour
day	dzień
dzień	day
night	noc
noc	night
vision, sight, visit	widzenie
widzenie	vision, sight, visit
horse	koń
koń	horse
cat	kot
kot	cat
duck	kaczka
kaczka	duck
elephant	słoń
słoń	elephant
animal	zwierzę
zwierzę	animal
dog	pies
pies	dog
bird	ptak
ptak	bird
fish	ryba
ryba	fish
mouse	mysz
mysz	mouse
lion	lew
lew	lion
crab	krab
krab	crab
tiger	tygrys
tygrys	tiger
spider	pająk
pająk	spider
wine	wino
wino	wine
tea	herbata
herbata	tea
egg	jajko
jajko	egg
coffee	kawa
kawa	coffee
dinner, supper	kolacja
kolacja	dinner, supper
breakfast	śniadanie
śniadanie	breakfast
food	jedzenie
jedzenie	food
lunch	obiad
obiad	lunch
meal	posiłek
posiłek	meal
fruit	owoc
owoc	fruit
juice	sok
sok	juice
soup	zupa
zupa	soup
sandwich	kanapka
kanapka	sandwich
meat	mięso
mięso	meat
cheese	ser
ser	cheese
tomato	pomidor
pomidor	tomato
human, man	człowiek
człowiek	human, man
vegetable	warzywo
warzywo	vegetable
coat	płaszcz
płaszcz	coat
dress	sukienka
sukienka	dress
shirt	koszula
koszula	shirt
clothes	ubranie
ubranie	clothes
skirt	spódnica
spódnica	skirt
shoe	but
but	shoe
hat	kapelusz
kapelusz	hat
pants/trousers	spodnie
spodnie	pants/trousers
sweatshirt, hoodie	bluza
bluza	sweatshirt, hoodie
cap	czapka
czapka	cap
underpants, pants	majtki
majtki	underpants, pants
sock	skarpeta
skarpeta	sock
jacket	kurtka
kurtka	jacket
book	książka
książka	book
letter	list
list	letter
voice, vote	głos
głos	voice, vote
mom/mum	mama
mama	mom/mum
son	syn
syn	son
daughter	córka
córka	daughter
brother	brat
brat	brother
sister	siostra
siostra	sister
dad	tata
tata	dad
father	ojciec
ojciec	father
family	rodzina
rodzina	family
husband	mąż
mąż	husband
wife	żona
żona	wife
aunt	ciocia
ciocia	aunt
uncle	wujek
wujek	uncle
grandfather	dziadek
dziadek	grandfather
parent	rodzic
rodzic	parent
marriage	małżeństwo
małżeństwo	marriage
grandmother	babcia
babcia	grandmother
siblings	rodzeństwo
rodzeństwo	siblings
house, home	dom
dom	house, home
school	szkoła
szkoła	school
music	muzyka
muzyka	music
color/colour	kolor
kolor	color/colour
question	pytanie
pytanie	question
answer	odpowiedź
odpowiedź	answer
table	stół
stół	table
bowl	miska
miska	bowl
spoon	łyżka
łyżka	spoon
chair	krzesło
krzesło	chair
bottle	butelka
butelka	bottle
mirror	lustro
lustro	mirror
computer	komputer
komputer	computer
radio	radio
radio	radio
television, TV set	telewizor
telewizor	television, TV set
room, peace	pokój
pokój	room, peace
bed	łóżko
łóżko	bed
clock	zegar
zegar	clock
telephone, phone	telefon
telefon	telephone, phone
battery	bateria
bateria	battery
watch	zegarek
zegarek	watch
screen	ekran
ekran	screen
cellphone, mobile	komórka
komórka	cellphone, mobile
(eye)glasses	okulary
okulary	(eye)glasses
lamp	lampa
lampa	lamp
window	okno
okno	window
sofa	sofa
sofa	sofa
desk	biurko
biurko	desk
door	drzwi
drzwi	door
(bed)sheet	prześcieradło
prześcieradło	(bed)sheet
pillow	poduszka
poduszka	pillow
sponge	gąbka
gąbka	sponge
bath(tub)	wanna
wanna	bath(tub)
shower	prysznic
prysznic	shower
paste	pasta
pasta	paste
tooth	ząb
ząb	tooth
brush	szczoteczka
szczoteczka	brush
soap	mydło
mydło	soap
razor, shaver	golarka
golarka	razor, shaver
bag	torba
torba	bag
pool	basen
basen	pool
basket	kosz
kosz	basket
box	pudełko
pudełko	box
umbrella	parasol
parasol	umbrella
wallet	portfel
portfel	wallet
carpet	dywan
dywan	carpet
floor	podłoga
podłoga	floor
cooker, stove	kuchenka
kuchenka	cooker, stove
roof	dach
dach	roof
key	klucz
klucz	key
thing	rzecz
rzecz	thing
wardrobe, cabinet	szafa
szafa	wardrobe, cabinet
wall	ściana
ściana	wall
knife	nóż
nóż	knife
glass	szklanka
szklanka	glass
mug	kubek
kubek	mug
plate	talerz
talerz	plate
(frying) pan	patelnia
patelnia	(frying) pan
fork	widelec
widelec	fork
refrigerator, fridge	lodówka
lodówka	refrigerator, fridge
magazine	czasopismo
czasopismo	magazine
paper	papier
papier	paper
newspaper	gazeta
gazeta	newspaper
scissors	nożyczki
nożyczki	scissors
leaf, card	kartka
kartka	leaf, card
armchair	fotel
fotel	armchair
piece	kawałek
kawałek	piece
machine	maszyna
maszyna	machine
flag	flaga
flaga	flag
bell	dzwon
dzwon	bell
ceiling	sufit
sufit	ceiling
object, thing; subject	przedmiot
przedmiot	object, thing; subject
blanket	koc
koc	blanket
morning	rano
rano	morning
time	czas
czas	time
noon, south	południe
południe	noon, south
tomorrow	jutro
jutro	tomorrow
calendar	kalendarz
kalendarz	calendar
Monday	poniedziałek
poniedziałek	Monday
Tuesday	wtorek
wtorek	Tuesday
Wednesday	środa
środa	Wednesday
Thursday	czwartek
czwartek	Thursday
Friday	piątek
piątek	Friday
Saturday	sobota
sobota	Saturday
Sunday	niedziela
niedziela	Sunday
year	rok
rok	year
century, age	wiek
wiek	century, age
week	tydzień
tydzień	week
month	miesiąc
miesiąc	month
hour	godzina
godzina	hour
weekend	weekend
weekend	weekend
date	data
data	date
January	styczeń
styczeń	January
February	luty
luty	February
March	marzec
marzec	March
April	kwiecień
kwiecień	April
May	maj
maj	May
June	czerwiec
czerwiec	June
July	lipiec
lipiec	July
August	sierpień
sierpień	August
September	wrzesień
wrzesień	September
October	październik
październik	October
November	listopad
listopad	November
December	grudzień
grudzień	December
winter	zima
zima	winter
spring	wiosna
wiosna	spring
summer	lato
lato	summer
fall/autumn	jesień
jesień	fall/autumn
period	okres
okres	period
time, interval	pora
pora	time, interval
minute	minuta
minuta	minute
party	impreza
impreza	party
decade	dekada
dekada	decade
second	sekunda
sekunda	second
birthday	urodziny
urodziny	birthday
generation	pokolenie
pokolenie	generation
moment, bit	chwila
chwila	moment, bit
student	student
student	student
work	praca
praca	work
doctor, physician	lekarz
lekarz	doctor, physician
personnel, staff	personel
personel	personnel, staff
model	modelka
modelka	model
artist	artysta
artysta	artist
lawyer	prawnik
prawnik	lawyer
police	policja
policja	police
policeman	policjant
policjant	policeman
student, pupil	uczeń
uczeń	student, pupil
director, principal	dyrektor
dyrektor	director, principal
worker	robotnik
robotnik	worker
director	dyrektorka
